_unit_id,birthplace,Birthplace_Orgin_ (US _or_ Non_ US),date_of_birth,race_ethnicity,race_ethnicity:confidence,religion,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,movie,person
670454353,"Chisinau, Moldova",Non-USA,30-Sep-1895,White,1,Na,Straight,1,1927,1,Best Director,http://www.nndb.com/people/320/000043191/,Two Arabian Knights,Lewis Milestone
670454440,"Rorschach, Switzerland",Non-USA,23-Jul-1884,White,1,Na,Bisexual,1,1929,1,Best Actor,http://www.nndb.com/people/738/000063549/,The Last Command,Emil Jannings
670454604,"Philadelphia, Pa",USA,6-Oct-06,White,1,Na,Straight,1,1929,1,Best Actress,http://www.nndb.com/people/129/000043000/,7th Heaven,Janet Gaynor
670454354,"Glasgow, Scotland",Non-USA,2-Feb-1886,White,1,Na,Straight,0.6842,1930,1,Best Director,http://www.nndb.com/people/626/000042500/,The Divine Lady,Frank Lloyd
670454441,"Columbus, Oh",USA,29-Mar-1889,White,1,Na,Straight,1,1930,1,Best Actor,http://www.nndb.com/people/739/000063550/,In Old Arizona,Warner Baxter
670454442,"London, England",Non-USA,10-Apr-1868,White,1,Na,Straight,1,1930,1,Best Actor,http://www.nndb.com/people/740/000063551/,Desraeli,George Arliss
670454605,"Toronto, Ontario, Canada",Non-USA,8-Apr-1892,White,1,Na,Straight,1,1930,1,Best Actress,http://www.nndb.com/people/683/000042557/,Coquette,Mary Pickford
670454606,"Montreal, Quebec, Canada",Non-USA,10-Aug-02,White,1,Na,Straight,1,1930,1,Best Actress,http://www.nndb.com/people/813/000063624/,The Divorcee,Norma Shearer
670454355,"Chisinau, Moldova",Non-USA,30-Sep-1895,White,1,Na,Straight,1,1931,0.6667,Best Director,http://www.nndb.com/people/320/000043191/,All Quiet on the Western Front,Lewis Milestone
670454443,"Philadelphia, Pa",USA,28-Apr-1878,White,1,Roman Catholic,Straight,1,1931,1,Best Actor,http://www.nndb.com/people/741/000043612/,A Free Soul,Lionel Barrymore
670454607,"Cobourg, Ontario, Canada",Non-USA,2-Nov-1868,White,1,Na,Straight,1,1931,1,Best Actress,http://www.nndb.com/people/814/000063625/,Min and Bill,Marie Dressler
670454356,"Chicago, Il",USA,23-Feb-1899,White,1,Na,Straight,1,1932,1,Best Director,http://www.nndb.com/people/544/000041421/,Skippy,Norman Taurog
670454444,"Kansas City, Mo",USA,1-Apr-1885,White,1,Na,Straight,1,1932,1,Best Actor,http://www.nndb.com/people/976/000043847/,The Champ,Wallace Beery
670454608,"Washington, Dc",USA,10-Oct-00,White,1,Na,Straight,1,1932,1,Best Actress,http://www.nndb.com/people/908/000031815/,The Sin of Madelon Claudet,Helen Hayes
670454357,"Salt Lake City, Ut",USA,23-Apr-1894,White,1,Roman Catholic,Straight,1,1933,1,Best Director,http://www.nndb.com/people/292/000044160/,Bad Girl,Frank Borzage
670454358,"Glasgow, Scotland",Non-USA,2-Feb-1886,White,1,Na,Straight,1,1934,1,Best Director,http://www.nndb.com/people/626/000042500/,Cavalcade,Frank Lloyd
670454445,"Victoria Hotel, Scarborough, Yorkshire, England",Non-USA,1-Jul-1899,White,1,Roman Catholic,Gay,1,1934,1,Best Actor,http://www.nndb.com/people/884/000042758/,The Private Life of Henry VIII,Charles Laughton
670454609,"Hartford, Ct",USA,12-May-07,White,1,Atheist,Bisexual,1,1934,1,Best Actress,http://www.nndb.com/people/775/000023706/,Morning Glory,Katharine Hepburn
670454359,"Bisacquino, Sicily, Italy",Non-USA,18-May-1897,White,1,Roman Catholic,Straight,1,1935,1,Best Director,http://www.nndb.com/people/459/000032363/,It Happened One Night,Frank Capra
670454446,"Cadiz, Oh",USA,1-Feb-01,White,1,Na,Straight,1,1935,1,Best Actor,http://www.nndb.com/people/156/000027075/,It Happened One Night,Clark Gable
670454610,"Paris, France",Non-USA,13-Sep-03,White,1,Na,Straight,1,1935,1,Best Actress,http://www.nndb.com/people/935/000043806/,It Happened One Night,Claudette Colbert
670454360,"Cape Elizabeth, Me",USA,1-Feb-1894,White,1,Roman Catholic,Bisexual,1,1936,1,Best Director,http://www.nndb.com/people/458/000032362/,The Informer,John Ford
670454447,"Tunbridge Wells, Kent, England",Non-USA,11-Dec-1883,White,1,Anglican/episcopalian,Straight,1,1936,1,Best Actor,http://www.nndb.com/people/452/000047311/,The Informer,Victor McLaglen
670454611,"Lowell, Ma",USA,5-Apr-08,White,1,Na,Straight,1,1936,1,Best Actress,http://www.nndb.com/people/457/000026379/,Dangerous,Bette Davis
670454361,"Bisacquino, Sicily, Italy",Non-USA,18-May-1897,White,1,Roman Catholic,Straight,1,1937,1,Best Director,http://www.nndb.com/people/459/000032363/,Mr. Deeds Goes to Town,Frank Capra
670454448,"Lviv, Ukraine",Non-USA,22-Sep-1895,White,1,Jewish,Straight,1,1937,1,Best Actor,http://www.nndb.com/people/741/000063552/,The Story of Louis Pasteur,Paul Muni
670454612,"Dusseldorf, Germany",USA,12-Jan-10,White,1,Jewish,Straight,1,1937,1,Best Actress,http://www.nndb.com/people/796/000030706/,The Great Ziegfeld,Luise Rainer
670454691,"Litchfield, Mn",USA,15-Feb-1899,White,1,Na,Straight,1,1937,1,Best Supporting Actress,http://www.nndb.com/people/062/000063870/,Anthony Adverse,Gale Sondergaard
670454362,"Los Angeles, Ca",USA,3-Oct-1898,White,1,Na,Straight,1,1938,1,Best Director,http://www.nndb.com/people/380/000044248/,The Awful Truth,Leo McCarey
670454449,"Milwaukee, Wi",USA,5-Apr-00,White,1,Roman Catholic,Straight,1,1938,1,Best Actor,http://www.nndb.com/people/979/000024907/,Captains Courageous,Spencer Tracy
670454526,"Swampscott, Ma",USA,25-Jul-1894,White,1,Na,Straight,1,1938,1,Best Supporting Actor,http://www.nndb.com/people/347/000032251/,Come and Get It,Walter Brennan
670454527,"Vienna, Austria",Non-USA,22-Mar-1896,White,1,Na,Straight,1,1938,1,Best Supporting Actor,http://www.nndb.com/people/115/000063923/,The Life of Emile Zola,Joseph Schildkraut
670454613,"Dusseldorf, Germany",USA,12-Jan-10,White,1,Jewish,Straight,1,1938,1,Best Actress,http://www.nndb.com/people/796/000030706/,The Good Earth,Luise Rainer
