year_of_award,Award Show Date
1929,5/16/1929
1930,4/3/1930
1930,11/5/1930
1931,11/10/1931
1932,11/18/1932
1934,3/16/1934
1935,2/27/1935
1936,3/5/1936
1937,3/4/1937
1938,3/10/1938
1939,2/23/1939
1940,2/29/1940
1941,2/27/1941
1942,2/26/1942
1943,3/4/1943
1944,3/2/1944
1945,3/15/1945
1946,3/7/1946
1947,3/13/1947
1948,3/20/1948
1949,3/24/1949
1950,3/23/1950
1951,3/29/1951
1952,3/20/1952
1953,3/19/1953
1954,3/25/1954
1955,3/30/1955
1956,3/21/1956
1957,3/27/1957
1958,3/26/1958
1959,4/6/1959
1960,4/4/1960
1961,4/17/1961
1962,4/9/1962
1963,4/8/1963
1964,4/13/1964
1965,4/5/1965
1966,4/18/1966
1967,4/10/1967
1968,4/10/1968
1969,4/14/1969
1970,4/7/1970
1971,4/15/1971
1972,4/10/1972
1973,3/27/1973
1974,4/2/1974
1975,4/8/1975
1976,3/29/1976
1977,3/28/1977
1978,4/3/1978
1979,4/9/1979
1980,4/14/1980
1981,3/31/1981
1982,3/29/1982
1983,4/11/1983
1984,4/9/1984
1985,3/25/1985
1986,3/24/1986
1987,3/30/1987
1988,4/11/1988
1989,3/29/1989
1990,3/26/1990
1991,3/25/1991
1992,3/30/1992
1993,3/29/1993
1994,3/21/1994
1995,3/27/1995
1996,3/25/1996
1997,3/24/1997
1998,3/23/1998
1999,3/21/1999
2000,3/26/2000
2001,3/25/2001
2002,3/24/2002
2003,3/23/2003
2004,2/29/2004
2005,2/27/2005
2006,3/5/2006
2007,2/25/2007
2008,2/24/2008
2009,2/22/2009
2010,3/7/2010
2011,2/27/2011
2012,2/26/2012
2013,2/24/2013
,3/19/1971
